longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.23,37.88,41,880.0,129.0,322.0,126.0,8.3252,452600.0
-122.22,37.86,21,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0
-122.24,37.85,52,1467.0,190.0,496.0,177.0,7.2574,352100.0
-122.25,37.85,52,1274.0,235.0,558.0,219.0,5.6431,341300.0
-122.25,37.85,52,1627.0,280.0,565.0,259.0,3.8462,342200.0
-122.25,37.85,52,919.0,213.0,413.0,193.0,4.0368,269700.0
-122.25,37.84,52,2535.0,489.0,1094.0,514.0,3.6591,299200.0
-122.25,37.84,52,3104.0,687.0,1157.0,647.0,3.1200,241400.0
-122.26,37.84,42,2555.0,665.0,1206.0,595.0,2.0804,226700.0
-122.25,37.85,52,3549.0,707.0,1551.0,714.0,3.6912,261100.0
-122.25,37.84,52,2202.0,434.0,910.0,402.0,3.2031,281500.0
-122.25,37.84,52,3503.0,596.0,1015.0,473.0,3.2705,241800.0
-122.24,37.85,52,2491.0,474.0,1098.0,468.0,3.0750,213500.0
-122.25,37.85,52,696.0,194.0,309.0,220.0,2.6736,191300.0
-122.25,37.85,52,2654.0,523.0,1281.0,445.0,1.9167,159200.0
-122.26,37.85,50,1120.0,283.0,697.0,264.0,2.4694,140000.0
-122.25,37.85,52,1966.0,522.0,792.0,395.0,3.1700,152500.0
-122.24,37.85,52,1228.0,294.0,648.0,303.0,2.7736,155500.0
-122.25,37.85,52,2223.0,451.0,990.0,419.0,2.6033,158700.0
-122.25,37.84,52,1546.0,344.0,774.0,342.0,2.2694,162900.0
